;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
215;0.0;-545.5;-933.0;624.0;-1088.5;214.0;0.0;47.5;0.0;369.0
216;-425.5;-970.0;-1120.5;320.0;-1019.5;289.0;-609.5;62.0;-289.0;-343.5
217;-804.0;-969.0;-1289.0;340.5;-1287.5;488.5;-1281.0;63.5;-1199.0;-730.5
218;-885.0;-968.5;-1288.0;-41.5;-1286.0;-284.0;-1144.5;-248.5;-1149.0;-719.0
219;-1208.0;-968.5;-1285.5;-925.5;-1127.0;-645.5;-1122.5;-762.5;-1181.0;-1063.0
220;-1207.0;-968.0;-1285.0;-1127.5;-1126.0;-998.0;-1121.5;-809.0;-1209.0;-1171.0
221;-1206.0;-967.5;-1284.5;-1021.5;-1276.5;-982.0;-1264.5;-809.0;-1210.0;-272.0
222;-562.0;-968.0;-1285.0;-18.0;-603.0;95.0;-1121.0;-699.5;-1129.5;803.5
223;509.0;-968.0;-1284.0;796.0;586.0;1300.0;-603.5;-486.5;-318.0;1359.5
224;1292.5;-968.0;-1283.5;1162.0;660.0;1387.5;3.0;-420.0;439.0;1455.5
225;1239.0;-868.0;-1283.0;1156.0;562.5;1275.0;414.5;0.0;532.0;1381.0
226;1125.0;-878.5;-1283.5;1137.5;364.0;1221.5;658.5;0.0;786.5;1330.0
227;1098.0;-968.0;-769.5;1220.5;252.5;1052.5;571.5;0.0;858.5;524.5
228;855.0;-965.0;-120.0;1160.5;250.5;898.5;755.0;0.0;783.0;239.0
229;728.0;-965.5;-723.0;838.0;233.0;734.5;920.0;0.0;488.5;312.0
230;509.5;-968.0;-1282.0;682.0;193.5;412.0;763.5;-217.5;289.0;439.5
231;126.0;-965.5;-1282.0;663.5;91.5;355.5;471.5;-526.5;203.5;532.0
232;129.5;-965.0;-1279.5;357.0;104.0;385.0;327.0;-71.0;185.5;488.5
233;739.5;-954.0;-455.5;766.5;83.0;822.0;511.5;0.0;261.5;456.0
234;1322.5;-324.0;581.5;1172.0;80.5;1153.0;839.0;0.0;412.0;587.5
235;840.0;-324.0;456.5;887.0;123.0;970.0;823.5;0.0;354.5;639.0
236;169.0;-324.0;162.0;255.0;66.5;332.0;579.0;0.0;330.0;84.5
237;138.5;-627.0;83.0;48.5;-845.5;261.5;504.5;0.0;25.5;-370.0
238;365.0;-696.0;289.0;0.0;-602.5;284.0;371.5;374.5;-695.0;-700.0
239;569.5;-227.5;-144.0;0.0;-49.0;213.5;432.5;504.5;-744.5;-1229.0
240;11.5;0.0;-857.0;-434.5;-892.0;412.5;-78.5;-340.5;-289.0;-1202.0
241;-890.5;0.0;-1281.5;-650.0;-1127.5;175.5;-976.0;-808.0;-1199.0;-1188.0
242;-1126.5;-372.5;-1279.0;-834.0;-811.5;-372.5;-1126.5;-806.5;-1149.0;-1236.0
243;-1125.0;-642.0;-1277.0;-1130.0;-1142.5;-1016.5;-1125.0;-1017.5;-1181.0;-1243.5
244;-1125.0;-782.5;-831.5;-1130.0;-1283.0;-1129.0;-1125.0;-1282.0;-1209.0;-1282.0
245;-1125.0;-664.0;-1215.0;-1101.5;-889.5;-766.5;-1124.0;-1126.5;-1210.0;-1177.5
246;-1124.5;-644.5;-938.5;-310.5;-12.0;13.5;-1123.5;-261.0;-1129.5;-1174.5
247;-1125.5;-642.0;157.5;214.0;504.5;350.0;-1124.0;658.0;-318.0;-446.5
248;-892.0;-745.0;233.0;448.0;384.5;587.0;-864.5;1436.5;439.0;471.5
249;141.5;-953.5;488.0;524.5;421.0;497.5;-1.0;1389.0;532.0;1000.5
250;296.0;-511.5;455.0;356.0;690.0;391.5;50.5;964.0;786.5;1223.0
251;268.5;-483.0;505.0;252.5;293.0;394.0;284.5;661.5;858.5;1245.0
252;301.5;-145.0;298.5;405.0;226.0;265.5;329.0;831.5;783.0;666.0
253;182.5;0.0;160.0;314.0;336.5;223.0;572.0;1033.5;488.5;237.0
254;-431.5;-613.5;381.5;331.0;309.5;225.0;77.0;998.5;289.0;333.0
255;-1026.0;-845.0;321.0;282.5;335.5;355.0;264.5;911.5;203.5;426.5
256;-1052.5;-141.0;410.0;239.0;386.0;357.0;379.5;702.5;185.5;453.5
257;-497.0;162.5;315.5;323.0;381.5;505.5;244.5;706.0;261.5;389.5
258;376.0;733.0;750.0;720.5;1088.5;968.0;104.5;1174.0;412.0;387.0
259;742.5;658.0;905.5;839.0;1357.5;793.0;15.0;1091.5;354.5;763.5
260;156.0;299.0;410.5;368.0;1038.5;588.0;-404.5;563.5;330.0;676.5
261;-365.5;134.0;332.0;363.5;176.5;386.0;-877.5;341.0;25.5;167.5
262;89.0;197.0;2.0;282.5;199.0;439.0;-487.0;190.5;-695.0;-566.0
263;446.5;281.5;-627.0;412.5;226.5;515.5;57.5;226.5;0.0;-1052.0
264;202.5;-118.0;-1283.0;452.5;-85.5;185.0;-362.5;234.0;-838.0;-1283.5
265;0.0;-871.0;-1279.0;351.0;-648.0;0.0;-756.5;106.5;-697.0;-1284.0
266;-278.0;-960.0;-1278.0;-121.0;-815.0;-726.5;-1053.5;-167.0;-711.5;-1284.0
267;-737.5;-958.5;-1277.5;-457.0;-969.5;-1292.0;-1123.0;-630.5;-735.5;-1283.0
268;-803.5;-959.0;-1276.0;-920.0;-967.0;-1292.0;-1122.0;-942.5;-1181.0;-1281.5
269;-1024.5;-778.5;-1277.0;-971.0;-698.5;-1292.0;-1122.5;-1217.0;-1112.0;-1200.5
270;-1209.5;17.5;-1099.5;-148.5;95.5;-1290.5;-1121.5;-290.5;-196.0;-771.5
271;-1211.0;587.5;151.0;231.5;716.0;-1025.5;-1122.5;60.0;192.5;183.0
272;-1210.5;873.0;465.5;428.0;955.0;80.5;-979.5;164.5;474.5;783.0
273;-525.0;728.0;486.5;444.0;1294.5;441.5;-141.0;1078.5;309.0;481.0
274;-265.0;644.5;295.0;287.0;1416.0;372.5;110.5;518.0;95.0;348.5
275;-53.5;846.5;138.5;197.5;1120.0;391.5;153.0;286.0;120.5;382.0
276;0.0;771.0;142.0;124.0;758.5;791.5;603.5;216.0;89.5;451.0
277;-293.5;646.5;14.0;115.0;740.0;510.0;314.0;146.0;-146.5;621.0
278;-647.0;548.0;0.0;144.5;789.0;245.0;-723.5;425.5;-292.5;1005.0
279;-947.5;89.5;1.0;0.0;589.5;-688.0;-1275.5;494.0;-325.0;977.5
280;-1206.0;203.5;82.0;1.0;367.0;-1276.5;-759.5;434.5;-79.5;621.0
281;-829.5;540.5;308.0;0.0;348.5;-241.0;216.0;361.0;54.0;373.5
282;345.0;1089.0;820.5;397.0;871.5;302.0;529.5;558.5;388.5;513.5
283;676.5;827.0;749.5;373.5;838.0;336.5;464.5;781.0;473.0;1146.0
284;171.0;532.0;45.0;658.5;571.0;156.0;321.0;310.0;383.5;486.0
